hayden-yuma__roadwork/data/train-00004-of-00026.parquet	509204302	1789683560.3100254260
hayden-yuma__roadwork/data/train-00001-of-00026.parquet	352053436	1789683560.4540114350
hayden-yuma__roadwork/data/train-00000-of-00026.parquet	577851753	1789683576.0605154810
hayden-yuma__roadwork/data/train-00021-of-00026.parquet	145949419	1789683605.9697605360
hayden-yuma__roadwork/data/train-00003-of-00026.parquet	559528749	1789683615.7088941160
hayden-yuma__roadwork/data/train-00022-of-00026.parquet	139663883	1789683646.8222224290
hayden-yuma__roadwork/data/train-00023-of-00026.parquet	158276413	1789683661.4010192490
hayden-yuma__roadwork/data/train-00025-of-00026.parquet	161563922	1789683701.7778402570
hayden-yuma__roadwork/data/train-00015-of-00026.parquet	401096596	1789683714.3168968980
hayden-yuma__roadwork/data/train-00017-of-00026.parquet	498013261	1789683739.8350380660
hayden-yuma__roadwork/data/train-00014-of-00026.parquet	782061002	1789683747.6504846490
hayden-yuma__roadwork/data/train-00024-of-00026.parquet	169401707	1789683760.5455873320
hayden-yuma__roadwork/data/train-00016-of-00026.parquet	445302052	1789683773.7646874410
hayden-yuma__roadwork/data/train-00019-of-00026.parquet	518885046	1789683777.1364610800
hayden-yuma__roadwork/data/train-00018-of-00026.parquet	571184146	1789683786.2598549640
hayden-yuma__roadwork/data/train-00020-of-00026.parquet	468498337	1789683806.0385721780
hayden-yuma__roadwork/data/train-00012-of-00026.parquet	145607700	1789683807.0225094570
hayden-yuma__roadwork/data/train-00005-of-00026.parquet	640379180	1789683812.6781509350
hayden-yuma__roadwork/README.md	1138	1789683219.5885609500
hayden-yuma__roadwork/.gitattributes	2461	1789683219.7365627580
hf-vision__hardhat/data/test-00000-of-00001-9fc2e7e45a21ae43.parquet	66929789	1789625857.6114393040
hf-vision__hardhat/data/train-00000-of-00001-3e0d95da2811afee.parquet	199956568	1789627301.4200762460
hf-vision__hardhat/README.md	872	1789625685.0152458300
hf-vision__hardhat/.gitattributes	2307	1789625686.2752477820
iluvvatar__wood_surface_defects/data/train-00000-of-00005-aee708e5dcec3620.parquet	440876516	1789680869.7823560760
iluvvatar__wood_surface_defects/data/train-00002-of-00005-81cab1be3ef4b976.parquet	441034105	1789680883.0504216470
iluvvatar__wood_surface_defects/data/train-00003-of-00005-46f348d8df59f63c.parquet	441133213	1789680906.4265383620
iluvvatar__wood_surface_defects/data/train-00001-of-00005-2be8dd5a78dccedb.parquet	440222873	1789680911.5465641220
iluvvatar__wood_surface_defects/data/train-00004-of-00005-cfde1ad8fb3dd17a.parquet	439651970	1789680921.8306160740
iluvvatar__wood_surface_defects/.gitattributes	2265	1789680796.9660055590
iluvvatar__wood_surface_defects/README.md	906	1789680797.0100057650
kevincluo__structure_wildfire_damage_classification/data/train-00006-of-00009-6639d98a2c7a39f1.parquet	423723489	1789682589.1562058710
kevincluo__structure_wildfire_damage_classification/data/train-00000-of-00009-c8a5637a3d1a80e9.parquet	627110966	1789682605.5444475950
kevincluo__structure_wildfire_damage_classification/data/train-00008-of-00009-36feeda2fbd24ffc.parquet	461848567	1789682615.4205923650
kevincluo__structure_wildfire_damage_classification/data/train-00004-of-00009-79f29caa7513e947.parquet	775134172	1789682649.1770822620
kevincluo__structure_wildfire_damage_classification/data/train-00001-of-00009-92d3029f18f7fed9.parquet	723846651	1789682655.6851758640
kevincluo__structure_wildfire_damage_classification/data/train-00002-of-00009-4c1dcecc6d84bf3c.parquet	538540911	1789682694.3897271470
kevincluo__structure_wildfire_damage_classification/data/train-00007-of-00009-ce9cdffc38bd7725.parquet	606837220	1789682694.8737339850
kevincluo__structure_wildfire_damage_classification/data/train-00003-of-00009-ed945d9945c16977.parquet	328215312	1789682707.5819130220
kevincluo__structure_wildfire_damage_classification/data/train-00005-of-00009-75c7c777fb56f64a.parquet	594533749	1789682710.9339600940
kevincluo__structure_wildfire_damage_classification/README.md	3449	1789682422.7176305720
kevincluo__structure_wildfire_damage_classification/.gitattributes	2307	1789682422.9136337500
keremberke__hard-hat-detection/data/valid-mini.zip	209798	1789680143.2760680000
keremberke__hard-hat-detection/data/test.zip	114425180	1789680162.0000760660
keremberke__hard-hat-detection/data/valid.zip	224860587	1789680179.3000870900
keremberke__hard-hat-detection/data/train.zip	778928861	1789680204.8001093390
keremberke__hard-hat-detection/README.dataset.txt	167	1789680141.0280673070
keremberke__hard-hat-detection/README.md	2534	1789680141.0280673070
keremberke__hard-hat-detection/split_name_to_num_samples.json	45	1789680141.0320673080
keremberke__hard-hat-detection/hard-hat-detection.py	5847	1789680141.0320673080
keremberke__hard-hat-detection/README.roboflow.txt	1004	1789680141.0560673150
keremberke__hard-hat-detection/.gitattributes	2265	1789680141.4280674260
keremberke__hard-hat-detection/thumbnail.jpg	107068	1789680142.6280677940
Voxel51__hard-hat-detection/data/hard_hat_workers1039.png	235348	1789680215.8521211270
Voxel51__hard-hat-detection/data/hard_hat_workers1031.png	249344	1789680215.6561209070
